Date Transaction Added,Beneficiary,Merchant Categories,Department,Purpose of Expenditure,Trans No,Net Amount
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,660.71
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,663.57
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,667.86
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,670.71
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,1459.85
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,1475.56
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,4063.50
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,4063.50
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,4095.00
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,4135.32
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,4135.32
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,4135.32
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,4229.82
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,4477.41
07/11/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,540601,4770.00
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,1365.00
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,1378.44
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,4096.40
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,4114.13
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,4114.13
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,4140.70
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,4158.40
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,4158.40
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,4198.95
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,4198.95
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,4273.16
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,4273.16
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,4370.81
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,4626.66
11/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,543576,4929.00
17/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,544072,3964.26
17/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,544072,3981.42
17/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,544072,3981.42
17/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,544072,4007.13
17/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,544072,4024.26
17/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,544072,4024.26
17/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,544072,4063.50
17/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,544072,4063.50
17/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,544072,4135.32
17/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,544072,4135.32
17/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,544072,4229.82
17/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,544072,4477.41
17/12/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,Foster Carer Payments,544072,4770.00
17/10/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31994929,16012.26
17/10/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31994929,16012.26
22/11/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32006747,34272.72
22/11/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32006747,34272.72
22/11/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32006782,16012.26
22/11/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32006782,16012.26
22/11/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32006782,17136.36
22/11/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32006782,17136.36
19/12/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32013522,16012.26
19/12/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32013522,16012.26
19/12/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32013522,17136.36
19/12/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32013522,17136.36
18/10/2024,222 estates,Benefits,Finance Department,Rent Allowances,31995718,877.28
15/11/2024,222 estates,Benefits,Finance Department,Rent Allowances,32005620,877.28
13/12/2024,222 estates,Benefits,Finance Department,Rent Allowances,32011968,877.28
17/10/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Adult Social Care,Transport Co-ordination,31994790,5018.58
15/11/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Adult Social Care,Transport Co-ordination,32004829,5496.54
20/12/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Adult Social Care,Transport Co-ordination,32013653,5018.58
17/10/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Children & Family Services,Miscellaneous Transport Costs,31994869,1795.31
18/11/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Children & Family Services,Miscellaneous Transport Costs,32005858,1795.31
20/12/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Children & Family Services,Miscellaneous Transport Costs,32014849,1889.80
17/10/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,"Education, Inclusion & Provision",Transport Co-ordination,31994869,1795.31
18/11/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,"Education, Inclusion & Provision",Transport Co-ordination,32005858,1795.31
20/12/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,"Education, Inclusion & Provision",Transport Co-ordination,32014849,1889.80
28/10/2024,4PUREHEART LIMITED,SCC-Commissioned Services- Childcare Res Placement,Children & Family Services,Residential Care,539965,64285.71
14/11/2024,4PUREHEART LIMITED,SCC-Commissioned Services- Childcare Res Placement,Children & Family Services,Residential Care,541143,66428.66
23/12/2024,4PUREHEART LIMITED,SCC-Commissioned Services- Childcare Res Placement,Children & Family Services,Residential Care,544499,64285.71
24/10/2024,A & D DRAINAGE SERVICESLTD,Waste Man - Sewer & Drainage,Planning & Transportation,Contracted Services,2406420,600.00
22/11/2024,A & D DRAINAGE SERVICESLTD,Waste Man - Sewer & Drainage,Planning & Transportation,Contracted Services,2407676,650.00
02/10/2024,A & D DRAINAGE SERVICESLTD,Waste Man - Sewer & Drainage,Planning & Transportation,Contracted Services,31990431,600.00
21/11/2024,A & D DRAINAGE SERVICESLTD,Waste Man - Sewer & Drainage,Planning & Transportation,Contracted Services,32006672,884.00
10/10/2024,A B STORAGE LTD,Corporate Finance,Revenues,NNDR Refund,31993475,2017.47
24/10/2024,A B STORAGE LTD,Corporate Finance,Revenues,NNDR Refund,31996720,619.63
06/11/2024,A Way with Media Productions Ltd,Leisure Services - Artist Fees,Community & Greenspace,Brindley Artists,540647,6929.18
28/10/2024,A Wilderness Way Limited,SCC- Commissioned Services - Childrens Homes,Children & Family Services,Residential Care,540052,18265.12
28/10/2024,A Wilderness Way Limited,SCC- Commissioned Services - Childrens Homes,Children & Family Services,Residential Care,540053,70777.34
05/12/2024,A Wilderness Way Limited,SCC- Commissioned Services - Childrens Homes,Children & Family Services,Residential Care,543047,68494.20
23/12/2024,A Wilderness Way Limited,SCC- Commissioned Services - Childrens Homes,Children & Family Services,Residential Care,544786,70777.34
05/12/2024,A1 Clearances  (North West) Ltd,Professional & Advisory Services,Adult Social Care,Contracted Services,543244,550.00
24/10/2024,A1 Risk Solutions Limited,Training - Short Course,Adult Social Care,Employee Training,2406522,750.00
31/10/2024,A1 Risk Solutions Limited,Training - Short Course,Adult Social Care,Employee Training,2406611,750.00
11/11/2024,REDACTED PERSONAL DATA,Consultancy - Education Services,"Education, Inclusion & Provision",Contracted Services,540375,775.00
07/11/2024,ABC Care and Education ltd,SCC-Commissioned Services- Childcare Res Placement,Children & Family Services,Residential Care,540448,15428.70
14/11/2024,ABC Care and Education ltd,SCC-Commissioned Services- Childcare Res Placement,Children & Family Services,Residential Care,541137,15942.99
23/12/2024,ABC Care and Education ltd,SCC-Commissioned Services- Childcare Res Placement,Children & Family Services,Residential Care,544493,15428.70
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,31994779,1500.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,31994794,1625.00
31/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,31997546,2975.00
15/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32004815,1650.00
15/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32004817,3325.00
15/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32004832,56.00
15/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32004832,2044.00
15/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32004833,1625.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32010031,1950.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32010032,3500.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32010033,48.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32010033,1752.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32010034,1625.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,Children & Family Services,Vehicle Maintenance Unit,31994798,68.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,Children & Family Services,Transport Co-ordination,31994798,3180.56
15/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,Children & Family Services,Vehicle Maintenance Unit,32004837,64.00
15/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,Children & Family Services,Transport Co-ordination,32004837,2964.48
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,Children & Family Services,Miscellaneous Transport Costs,32005806,52.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,Children & Family Services,Vehicle Maintenance Unit,32010035,80.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,Children & Family Services,Transport Co-ordination,32010035,3730.60
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,31994821,80.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994821,3200.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,31994824,76.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994824,3332.60
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,31994828,76.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994828,2287.60
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,31994830,72.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994830,1753.06
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994833,2090.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,31994841,80.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994841,3420.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994843,2900.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994844,2375.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994845,2156.88
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994847,1862.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994848,2000.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994851,2340.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,31994857,76.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994857,2564.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,31994859,80.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994859,4405.20
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994867,540.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,31994870,76.00
17/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31994870,1977.52
18/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31995850,2945.00
18/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,31995858,76.00
18/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31995858,2354.80
18/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,31995859,64.00
18/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31995859,2216.00
18/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31995865,3480.72
18/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,31995867,76.00
18/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31995867,3068.00
21/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,31995882,76.00
21/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31995882,3655.60
31/10/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,31997547,1330.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32005783,72.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005783,2880.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005785,500.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32005788,72.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005788,3157.20
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32005792,72.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005792,2167.20
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32005794,72.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005794,1705.68
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005798,1980.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32005800,76.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005800,3655.60
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005802,1425.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005806,2945.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32005815,76.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005815,3249.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005821,2610.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005824,2125.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005825,1929.84
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005828,1790.88
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32005830,72.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005830,2685.60
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005831,1800.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005836,2470.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005839,625.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32005842,76.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005842,2564.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32005844,68.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005844,2293.50
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32005846,76.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005846,4184.94
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32005855,56.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005855,2184.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005856,720.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32005860,56.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005860,1457.12
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005862,2783.20
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32005868,76.00
18/11/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32005868,3078.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32010036,84.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010036,3360.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010037,2625.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32010038,80.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010038,3508.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32010039,80.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010039,2408.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32010040,80.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010040,1895.20
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010041,2200.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32010042,80.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010042,3848.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010043,1500.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010044,3100.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32010045,80.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010045,3420.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010046,680.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010047,3045.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010048,2500.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010049,2270.40
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010050,2094.40
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32010051,80.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010051,2984.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010052,2100.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010053,2600.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010054,2500.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32010055,80.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010055,2604.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32010056,80.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010056,2584.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32010057,76.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010057,4184.94
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32010058,80.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010058,3120.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010059,720.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Vehicle Maintenance Unit,32010060,80.00
10/12/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",Transport Co-ordination,32010060,2081.60
