Directorate(T),Supplier,Supplier(T),TransNo,Amount,Trans.date,Expense Area(T),Expense Type(T)
ADULTS,10000063,Orchard Lodge Care Home,20737068,3600,2025-02-04 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000063,Orchard Lodge Care Home,20737069,3600,2025-02-04 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10941242,900,2025-02-06 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10942451,300,2025-02-20 00:00:00,Supplies,Professional Fees
ADULTS,10000322,Bondcare (London) Ltd Moorlands Main,20737071,4796,2025-02-04 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000365,Barbara Grell Consultancy Ltd,10941423,400,2025-02-08 00:00:00,Supplies,Professional Fees
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20735664,415.42,2025-02-03 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20735666,4326,2025-02-03 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20735667,948.73,2025-02-03 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20735668,347.6,2025-02-03 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20735669,1728.05,2025-02-03 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20735670,1680,2025-02-03 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20735671,4975.88,2025-02-03 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20735672,559.07,2025-02-03 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20735673,4309.52,2025-02-03 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20735674,4975.88,2025-02-03 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20735675,4400,2025-02-03 00:00:00,Contractual costs,Home Care
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10940763,300,2025-02-03 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10940767,300,2025-02-03 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10940769,300,2025-02-03 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10941314,300,2025-02-07 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10941521,300,2025-02-10 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10942621,300,2025-02-21 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10942827,300,2025-02-25 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10942835,300,2025-02-25 00:00:00,Supplies,Professional Fees
ADULTS,10000517,Line of Sight Care Limited,20735727,500.64,2025-01-28 00:00:00,Contractual costs,Carers Payments
ADULTS,10000517,Line of Sight Care Limited,20735728,1501.92,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735729,2127.72,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735730,810.56,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735731,1501.92,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735732,667.52,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735733,1335.04,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735734,2503.2,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735735,2127.72,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735736,1525.76,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735738,429.12,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735739,929.76,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735740,1096.64,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735741,1501.92,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735743,1287.36,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735744,1335.04,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735745,2670.08,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735746,667.52,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735747,619.84,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735748,1215.84,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735749,1335.04,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735750,667.52,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735751,667.52,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735752,619.84,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735753,834.4,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735754,333.76,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735755,1108.56,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735757,2933.28,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735758,6770.56,2025-01-28 00:00:00,Contractual costs,Carers Payments
ADULTS,10000517,Line of Sight Care Limited,20735759,250.32,2025-01-28 00:00:00,Contractual costs,Carers Payments
ADULTS,10000517,Line of Sight Care Limited,20735761,268.2,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735762,1180.08,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20735763,1180.08,2025-01-28 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20736195,6290.2,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000517,Line of Sight Care Limited,20736196,5765.2,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000517,Line of Sight Care Limited,20736197,5185,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000517,Line of Sight Care Limited,20736198,4965.2,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000517,Line of Sight Care Limited,20736199,1320.03,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000517,Line of Sight Care Limited,20736200,3696,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000517,Line of Sight Care Limited,20736201,3696,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000517,Line of Sight Care Limited,20736202,5657.2,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000517,Line of Sight Care Limited,20736203,500.64,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000517,Line of Sight Care Limited,20736204,667.52,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000517,Line of Sight Care Limited,20736205,3750,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000517,Line of Sight Care Limited,20736206,5000,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000517,Line of Sight Care Limited,20736207,5000,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000517,Line of Sight Care Limited,20738467,1330.24,2025-02-11 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738468,1642.64,2025-02-11 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738469,1398.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738470,1087.8,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738471,466.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738472,1398.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738473,621.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738475,1087.8,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738477,355.2,2025-02-05 00:00:00,Contractual costs,Carers Payments
ADULTS,10000517,Line of Sight Care Limited,20738478,1243.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738479,677.1,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738480,1398.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738481,1243.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738482,1243.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738483,2175.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738484,2331,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738486,1398.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738487,1243.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738488,466.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738489,1398.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738490,1126.65,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738491,1398.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738492,621.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738494,1243.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738495,677.1,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738496,1398.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738497,1243.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738498,1398.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738499,444,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738500,1243.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738501,1243.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738502,2175.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738503,2331,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738505,1065.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738507,1398.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738508,621.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738509,310.8,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738511,310.8,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738512,310.8,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738513,1376.4,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738514,1265.4,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738515,932.4,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738516,466.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738517,932.4,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738518,1398.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738519,333,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738520,1126.65,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738521,527.25,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738522,388.5,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738523,1398.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738524,1398.6,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738525,4091.64,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738526,4091.64,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738533,932.4,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738534,1975.8,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738535,1975.8,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738536,1243.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738537,1554,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738538,1243.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738539,1554,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738540,1243.2,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738550,1697.72,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738551,1598.73,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738552,1697.72,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738553,557.65,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738555,1598.73,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738557,1778.08,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738558,1778.08,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738560,1627.24,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738561,1909.16,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738562,1778.08,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738563,1594.02,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738564,1627.24,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738565,1848.56,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738566,2105.86,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738567,2180.71,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738568,1627.24,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738569,789.34,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738570,1594.02,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738571,1627.24,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738572,1290.91,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738573,1909.16,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738574,1778.08,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738575,406.81,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738576,1627.24,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738577,1848.56,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738578,406.81,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738579,2105.86,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738580,2180.71,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738581,1627.24,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738582,867.38,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738583,1220.43,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738584,1627.24,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738585,1125.78,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738586,406.81,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738587,813.62,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738588,1656.73,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738590,964.46,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738592,1446.99,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738593,786.98,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738595,1627.24,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738596,813.62,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738597,813.62,2025-02-05 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738651,535.36,2025-02-11 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738652,535.36,2025-02-11 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738653,-803.04,2025-02-11 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20738654,-803.04,2025-02-11 00:00:00,Contractual costs,Home Care
ADULTS,10000524,Hands in Harmony Home Care Services,20735640,334.8,2025-01-13 00:00:00,Contractual costs,Home Care
ADULTS,10000524,Hands in Harmony Home Care Services,20735641,912.06,2025-01-29 00:00:00,Contractual costs,Home Care
ADULTS,10000524,Hands in Harmony Home Care Services,20735642,315.28,2025-01-29 00:00:00,Contractual costs,Home Care
ADULTS,10000524,Hands in Harmony Home Care Services,20735643,327.72,2025-01-29 00:00:00,Contractual costs,Home Care
ADULTS,10000524,Hands in Harmony Home Care Services,20735646,1261.12,2025-01-29 00:00:00,Contractual costs,Home Care
ADULTS,10000524,Hands in Harmony Home Care Services,20735648,602.41,2025-01-29 00:00:00,Contractual costs,Home Care
ADULTS,10000524,Hands in Harmony Home Care Services,20738348,279,2025-01-29 00:00:00,Contractual costs,Home Care
ADULTS,10000524,Hands in Harmony Home Care Services,20738349,301.32,2025-02-10 00:00:00,Contractual costs,Home Care
ADULTS,10000524,Hands in Harmony Home Care Services,20738350,301.32,2025-02-10 00:00:00,Contractual costs,Home Care
ADULTS,10000524,Hands in Harmony Home Care Services,20738351,1093.68,2025-01-29 00:00:00,Contractual costs,Home Care
ADULTS,10000524,Hands in Harmony Home Care Services,20738352,1093.68,2025-01-29 00:00:00,Contractual costs,Home Care
ADULTS,10000524,Hands in Harmony Home Care Services,20739277,1138.01,2025-01-24 00:00:00,Contractual costs,Re-enablement
ADULTS,10000524,Hands in Harmony Home Care Services,20739278,18060.44,2025-01-24 00:00:00,Contractual costs,Re-enablement
ADULTS,10000524,Hands in Harmony Home Care Services,20741420,669.6,2025-01-29 00:00:00,Contractual costs,Home Care
ADULTS,10000524,Hands in Harmony Home Care Services,20741421,390.6,2025-01-29 00:00:00,Contractual costs,Home Care
ADULTS,10000602,The ExtraCare Charitable Trust,20739576,453.6,2025-02-12 00:00:00,Contractual costs,Extra Care Scheme
ADULTS,10000602,The ExtraCare Charitable Trust,20739577,907.2,2025-02-12 00:00:00,Contractual costs,Extra Care Scheme
ADULTS,10000602,The ExtraCare Charitable Trust,20739578,388.8,2025-02-12 00:00:00,Contractual costs,Extra Care Scheme
ADULTS,10000602,The ExtraCare Charitable Trust,20739579,1360.8,2025-02-12 00:00:00,Contractual costs,Extra Care Scheme
ADULTS,10000602,The ExtraCare Charitable Trust,20739580,1814.4,2025-02-12 00:00:00,Contractual costs,Extra Care Scheme
ADULTS,10000602,The ExtraCare Charitable Trust,20739581,2570.4,2025-02-12 00:00:00,Contractual costs,Extra Care Scheme
ADULTS,10000602,The ExtraCare Charitable Trust,20739582,1058.4,2025-02-12 00:00:00,Contractual costs,Extra Care Scheme
ADULTS,10000602,The ExtraCare Charitable Trust,20739583,907.2,2025-02-12 00:00:00,Contractual costs,Extra Care Scheme
ADULTS,10000602,The ExtraCare Charitable Trust,20739584,1814.4,2025-02-12 00:00:00,Contractual costs,Extra Care Scheme
ADULTS,10000602,The ExtraCare Charitable Trust,20739585,2570.4,2025-02-12 00:00:00,Contractual costs,Extra Care Scheme
ADULTS,10000602,The ExtraCare Charitable Trust,20739586,421.2,2025-02-12 00:00:00,Contractual costs,Extra Care Scheme
ADULTS,10000602,The ExtraCare Charitable Trust,20739587,356.4,2025-02-12 00:00:00,Contractual costs,Extra Care Scheme
ADULTS,10000602,The ExtraCare Charitable Trust,20739588,453.6,2025-02-12 00:00:00,Contractual costs,Extra Care Scheme
ADULTS,10000799,Luke´s Place,20739596,329.87,2025-02-18 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000834,Sunrise Care Ltd,20736108,4179.56,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736118,3851.72,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736119,3594,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736120,5587.44,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736121,3873.2,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736122,4529,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736123,5683.88,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736124,4041.2,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736125,3481.2,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736126,4285.36,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736127,4359,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736128,4359,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736129,5435.8,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736130,4359,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000850,Zach´s Care PVT LTD,20736131,3976,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000854,GOGOMADU CARE LIMITED,20741235,3780,2025-02-25 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000854,GOGOMADU CARE LIMITED,20741236,766.5,2025-02-25 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000854,GOGOMADU CARE LIMITED,20741237,-945,2025-02-25 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10001017,GND Support Ltd,20736132,5021.24,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10001017,GND Support Ltd,20736133,4383.48,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10001017,GND Support Ltd,20736134,4277.4,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10001017,GND Support Ltd,20736135,4936,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10001017,GND Support Ltd,20736136,3572,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10001017,GND Support Ltd,20736137,4169.12,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10001017,GND Support Ltd,20736138,4232,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10001017,GND Support Ltd,20736139,4600,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10001135,Thrift Activity Farm Ltd,20741644,878.4,2025-01-31 00:00:00,Contractual costs,Day Care
ADULTS,10001135,Thrift Activity Farm Ltd,20741645,1098,2025-02-25 00:00:00,Contractual costs,Day Care
ADULTS,10001135,Thrift Activity Farm Ltd,20741648,439.2,2025-01-31 00:00:00,Contractual costs,Day Care
ADULTS,10001135,Thrift Activity Farm Ltd,20741649,1098,2025-01-31 00:00:00,Contractual costs,Day Care
ADULTS,10001246,Orchard House - Northampton Ltd,20736347,2000,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10001297,Cordial Support Healthcare,20736334,3724,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10001297,Cordial Support Healthcare,20736335,4810.52,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10001297,Cordial Support Healthcare,20736336,5086.52,2025-02-04 00:00:00,Contractual costs,Supported Living Packages
